dt,trade_date,order_book_id,event_type,quantity,price,cash_value,realized_pnl,layer,batch_id,sub_id,pending_id,stage,source,note
2024-03-28 09:38:00,2024-03-28,300142.XSHE,buy_attempt_fill,100,15.37,1537.0,0.0,,,,300142.XSHE-FTB-00001,,day0,
2024-03-28 09:43:00,2024-03-28,300122.XSHE,buy_attempt_fill,100,45.0,4500.0,0.0,,,,300122.XSHE-FTB-00002,,day0,
2024-03-28 09:47:00,2024-03-28,000069.XSHE,buy_attempt_fill,300,2.74,822.0000000000001,0.0,,,,000069.XSHE-FTB-00003,,day0,
2024-03-28 10:14:00,2024-03-28,000069.XSHE,buy_attempt_fill,300,2.72,816.0000000000001,0.0,,,,000069.XSHE-FTB-00004,,day0,
2024-03-28 10:18:00,2024-03-28,300142.XSHE,buy_attempt_fill,100,15.6,1560.0,0.0,,,,300142.XSHE-FTB-00005,,day0,
2024-03-28 10:43:00,2024-03-28,000069.XSHE,buy_attempt_fill,200,2.75,550.0,0.0,,,,000069.XSHE-FTB-00006,,day0,
2024-03-28 10:52:00,2024-03-28,000069.XSHE,buy_attempt_fill,200,2.75,550.0,0.0,,,,000069.XSHE-FTB-00007,,day0,
2024-03-28 10:58:00,2024-03-28,300142.XSHE,buy_attempt_fill,100,15.61,1561.0,0.0,,,,300142.XSHE-FTB-00009,,day0,
2024-03-28 13:01:00,2024-03-28,300122.XSHE,buy_attempt_fill,100,45.22,4522.0,0.0,,,,300122.XSHE-FTB-00010,,day0,
2024-03-28 13:04:00,2024-03-28,000069.XSHE,buy_attempt_fill,100,2.75,275.0,0.0,,,,000069.XSHE-FTB-00011,,day0,
2024-03-28 13:32:00,2024-03-28,600030.XSHG,buy_attempt_fill,100,19.4,1939.9999999999998,0.0,,,,600030.XSHG-FTB-00012,,day0,
2024-03-28 14:23:00,2024-03-28,300142.XSHE,buy_attempt_fill,100,15.48,1548.0,0.0,,,,300142.XSHE-FTB-00013,,day0,
2024-03-28 15:30:00,2024-03-28,000069.XSHE,carryover_batch_created,1100,2.7390909090909092,3013.0,0.0,,000069.XSHE-B00010,,,,day0,pending forward buys merged into new batch
2024-03-28 15:30:00,2024-03-28,300122.XSHE,carryover_batch_created,200,45.11,9022.0,0.0,,300122.XSHE-B00019,,,,day0,pending forward buys merged into new batch
