date,cash,total_value,market_value,unit_net_value,units,static_unit_net_value
2024-03-28,979759.0,999966.0,20207.0,0.999966,1000000.0,1.0
2024-03-29,967625.0,999744.0,32119.0,0.999744,1000000.0,1.0
2024-04-01,952874.0065,1000785.0065,47911.0,1.000785,1000000.0,0.9997
2024-04-02,944762.0065,1000182.0065,55420.0,1.000182,1000000.0,1.0008
2024-04-03,919359.0065,999489.0065,80130.0,0.999489,1000000.0,1.0002
2024-04-08,905888.0065,997936.0065,92048.0,0.997936,1000000.0,0.9995
2024-04-09,897527.747,999359.747,101832.0,0.99936,1000000.0,0.9979
2024-04-10,889148.747,997120.747,107972.0,0.997121,1000000.0,0.9994
2024-04-11,877527.747,995069.747,117542.0,0.99507,1000000.0,0.9971
2024-04-12,860478.747,992653.747,132175.0,0.992654,1000000.0,0.9951
2024-04-15,845903.9635,992578.9635,146675.0,0.992579,1000000.0,0.9927
2024-04-16,822606.9635,990597.9635,167991.0,0.990598,1000000.0,0.9926
2024-04-17,817175.1235,994113.1235,176938.0,0.994113,1000000.0,0.9906
2024-04-18,808752.8561,994228.8561,185476.0,0.994229,1000000.0,0.9941
2024-04-19,799831.7836,992419.7836,192588.0,0.99242,1000000.0,0.9942
2024-04-22,790376.2501,993583.2501,203207.0,0.993583,1000000.0,0.9924
2024-04-23,780411.1686,989951.1686,209540.0,0.989951,1000000.0,0.9936
2024-04-24,760013.1686,989415.1686,229402.0,0.989415,1000000.0,0.99
2024-04-25,752606.6606,989479.6606,236873.0,0.98948,1000000.0,0.9894
2024-04-26,768672.5504,997964.5504,229292.0,0.997965,1000000.0,0.9895
2024-04-29,823311.1159,1004463.1159,181152.0,1.004463,1000000.0,0.998
2024-04-30,832989.2644,1001167.2644,168178.0,1.001167,1000000.0,1.0045
2024-05-06,834985.3894,1005120.3894,170135.0,1.00512,1000000.0,1.0012
2024-05-07,842832.1089,1005949.1089,163117.0,1.005949,1000000.0,1.0051
2024-05-08,859212.6344,1003571.6344,144359.0,1.003572,1000000.0,1.0059
2024-05-09,861363.8424,1005082.8424,143719.0,1.005083,1000000.0,1.0036
2024-05-10,865089.7499,1006152.7499,141063.0,1.006153,1000000.0,1.0051
2024-05-13,866938.7214,1005379.7214,138441.0,1.00538,1000000.0,1.0062
2024-05-14,868413.3859,1006297.3859,137884.0,1.006297,1000000.0,1.0054
2024-05-15,863438.9734,1005205.9734,141767.0,1.005206,1000000.0,1.0063
2024-05-16,849439.5474,1007756.5474,158317.0,1.007757,1000000.0,1.0052
2024-05-17,865876.1219,1015650.1219,149774.0,1.01565,1000000.0,1.0078
2024-05-20,879189.1459,1014569.1459,135380.0,1.014569,1000000.0,1.0157
2024-05-21,879480.9974,1013689.9974,134209.0,1.01369,1000000.0,1.0146
2024-05-22,879770.8499,1014641.8499,134871.0,1.014642,1000000.0,1.0137
2024-05-23,881975.7419,1011429.7419,129454.0,1.01143,1000000.0,1.0146
2024-05-24,880970.3069,1008653.3069,127683.0,1.008653,1000000.0,1.0114
2024-05-27,877234.3069,1008294.3069,131060.0,1.008294,1000000.0,1.0087
2024-05-28,874735.3069,1006691.3069,131956.0,1.006691,1000000.0,1.0083
2024-05-29,870940.0299,1006805.0299,135865.0,1.006805,1000000.0,1.0067
2024-05-30,868276.0299,1005222.0299,136946.0,1.005222,1000000.0,1.0068
2024-05-31,860231.8699,1003983.8699,143752.0,1.003984,1000000.0,1.0052
2024-06-03,857297.0594,1001140.0594,143843.0,1.00114,1000000.0,1.004
2024-06-04,850429.6609,1002373.6609,151944.0,1.002374,1000000.0,1.0011
2024-06-05,840036.6609,1000344.6609,160308.0,1.000345,1000000.0,1.0024
2024-06-06,830662.6609,997600.6609,166938.0,0.997601,1000000.0,1.0003
2024-06-07,825497.6609,998066.6609,172569.0,0.998067,1000000.0,0.9976
2024-06-11,816063.6609,996884.6609,180821.0,0.996885,1000000.0,0.9981
2024-06-12,806775.6609,995453.6609,188678.0,0.995454,1000000.0,0.9969
2024-06-13,798133.6609,991807.6609,193674.0,0.991808,1000000.0,0.9955
2024-06-14,797942.9329,993269.9329,195327.0,0.99327,1000000.0,0.9918
2024-06-17,792907.7244,992236.7244,199329.0,0.992237,1000000.0,0.9933
2024-06-18,791706.5234,992269.5234,200563.0,0.99227,1000000.0,0.9922
2024-06-19,789338.5864,989812.5864,200474.0,0.989813,1000000.0,0.9923
2024-06-20,786001.4219,985954.4219,199953.0,0.985954,1000000.0,0.9898
2024-06-21,773804.5729,986857.5729,213053.0,0.986858,1000000.0,0.986
2024-06-24,763074.6524,983784.6524,220710.0,0.983785,1000000.0,0.9869
2024-06-25,758688.0309,982953.0309,224265.0,0.982953,1000000.0,0.9838
2024-06-26,751784.5109,987030.5109,235246.0,0.987031,1000000.0,0.983
2024-06-27,749617.2749,983829.2749,234212.0,0.983829,1000000.0,0.987
2024-06-28,740484.2424,982282.2424,241798.0,0.982282,1000000.0,0.9838
2024-07-01,732573.8994,986154.8994,253581.0,0.986155,1000000.0,0.9823
2024-07-02,732078.0134,984859.0134,252781.0,0.984859,1000000.0,0.9862
2024-07-03,716059.8469,986051.8469,269992.0,0.986052,1000000.0,0.9849
2024-07-04,708301.7549,980566.7549,272265.0,0.980567,1000000.0,0.9861
2024-07-05,701609.4259,981750.4259,280141.0,0.98175,1000000.0,0.9806
2024-07-08,701205.3689,976027.3689,274822.0,0.976027,1000000.0,0.9818
2024-07-09,696884.5734,977738.5734,280854.0,0.977739,1000000.0,0.976
2024-07-10,680185.6054,978692.6054,298507.0,0.978693,1000000.0,0.9777
