date,cash,transaction_cost,market_value,total_value
2024-03-28,979759.0,60.0,20207.0,999966.0
2024-03-29,967625.0,40.0,32119.0,999744.0
2024-04-01,952874.0065,76.9935,47911.0,1000785.0065
2024-04-02,944762.0065,50.0,55420.0,1000182.0065
2024-04-03,919359.0065,90.0,80130.0,999489.0065
2024-04-08,905888.0065,20.0,92048.0,997936.0065
2024-04-09,897527.747,32.2595,101832.0,999359.747
2024-04-10,889148.747,20.0,107972.0,997120.747
2024-04-11,877527.747,25.0,117542.0,995069.747
2024-04-12,860478.747,40.0,132175.0,992653.747
2024-04-15,845903.9635,56.7835,146675.0,992578.9635
2024-04-16,822606.9635,55.0,167991.0,990597.9635
2024-04-17,817175.1235,94.84,176938.0,994113.1235
2024-04-18,808752.8561,40.2674,185476.0,994228.8561
2024-04-19,799831.7836,27.0725,192588.0,992419.7836
2024-04-22,790376.2501,63.5335,203207.0,993583.2501
2024-04-23,780411.1686,52.0815,209540.0,989951.1686
2024-04-24,760013.1686,40.0,229402.0,989415.1686
2024-04-25,752606.6606,67.508,236873.0,989479.6606
2024-04-26,768672.5504,167.1102,229292.0,997964.5504
2024-04-29,823311.1159,205.4345,181152.0,1004463.1159
2024-04-30,832989.2644,24.8515,168178.0,1001167.2644
2024-05-06,834985.3894,50.875,170135.0,1005120.3894
2024-05-07,842832.1089,77.2805,163117.0,1005949.1089
2024-05-08,859212.6344,38.4745,144359.0,1003571.6344
2024-05-09,861363.8424,65.792,143719.0,1005082.8424
2024-05-10,865089.7499,51.0925,141063.0,1006152.7499
2024-05-13,866938.7214,49.0285,138441.0,1005379.7214
2024-05-14,868413.3859,43.3355,137884.0,1006297.3859
2024-05-15,863438.9734,35.4125,141767.0,1005205.9734
2024-05-16,849439.5474,60.426,158317.0,1007756.5474
2024-05-17,865876.1219,91.4255,149774.0,1015650.1219
2024-05-20,879189.1459,32.976,135380.0,1014569.1459
2024-05-21,879480.9974,5.1485,134209.0,1013689.9974
2024-05-22,879770.8499,5.1475,134871.0,1014641.8499
2024-05-23,881975.7419,11.108,129454.0,1011429.7419
2024-05-24,880970.3069,10.435,127683.0,1008653.3069
2024-05-27,877234.3069,10.0,131060.0,1008294.3069
2024-05-28,874735.3069,15.0,131956.0,1006691.3069
2024-05-29,870940.0299,25.277,135865.0,1006805.0299
2024-05-30,868276.0299,10.0,136946.0,1005222.0299
2024-05-31,860231.8699,63.16,143752.0,1003983.8699
2024-06-03,857297.0594,31.8105,143843.0,1001140.0594
2024-06-04,850429.6609,103.3985,151944.0,1002373.6609
2024-06-05,840036.6609,40.0,160308.0,1000344.6609
2024-06-06,830662.6609,30.0,166938.0,997600.6609
2024-06-07,825497.6609,20.0,172569.0,998066.6609
2024-06-11,816063.6609,30.0,180821.0,996884.6609
2024-06-12,806775.6609,30.0,188678.0,995453.6609
2024-06-13,798133.6609,30.0,193674.0,991807.6609
2024-06-14,797942.9329,43.728,195327.0,993269.9329
2024-06-17,792907.7244,32.2085,199329.0,992236.7244
2024-06-18,791706.5234,22.201,200563.0,992269.5234
2024-06-19,789338.5864,10.937,200474.0,989812.5864
2024-06-20,786001.4219,37.1645,199953.0,985954.4219
2024-06-21,773804.5729,36.849,213053.0,986857.5729
2024-06-24,763074.6524,35.9205,220710.0,983784.6524
2024-06-25,758688.0309,53.6215,224265.0,982953.0309
2024-06-26,751784.5109,35.52,235246.0,987030.5109
2024-06-27,749617.2749,26.236,234212.0,983829.2749
2024-06-28,740484.2424,46.0325,241798.0,982282.2424
2024-07-01,732573.8994,46.343,253581.0,986154.8994
2024-07-02,732078.0134,37.886,252781.0,984859.0134
2024-07-03,716059.8469,46.1665,269992.0,986051.8469
2024-07-04,708301.7549,42.092,272265.0,980566.7549
2024-07-05,701609.4259,47.329,280141.0,981750.4259
2024-07-08,701205.3689,16.057,274822.0,976027.3689
2024-07-09,696884.5734,58.7955,280854.0,977738.5734
2024-07-10,680185.6054,106.968,298507.0,978692.6054
2024-07-11,689335.2674,96.338,295299.0,984634.2674
