date,order_book_id,symbol,quantity,last_price,avg_price,market_value
2024-03-28,300142.XSHE,沃森生物,400.0,15.52,15.515,6208.0
2024-03-28,300122.XSHE,智飞生物,200.0,45.27,45.11,9054.0
2024-03-28,000069.XSHE,华侨城A,1100.0,2.74,2.7391,3014.0
2024-03-28,600030.XSHG,中信证券,100.0,19.31,19.4,1931.0
2024-03-29,300142.XSHE,沃森生物,400.0,15.38,15.515,6152.0
2024-03-29,300122.XSHE,智飞生物,300.0,44.94,45.0567,13482.0
2024-03-29,000069.XSHE,华侨城A,2500.0,2.69,2.7164,6725.0
2024-03-29,600030.XSHG,中信证券,300.0,19.2,19.2033,5760.0
2024-04-01,300142.XSHE,沃森生物,600.0,16.05,15.6294,9630.0
2024-04-01,300122.XSHE,智飞生物,300.0,46.64,45.0567,13992.0
2024-04-01,000069.XSHE,华侨城A,3100.0,2.73,2.7161,8463.0
2024-04-01,600030.XSHG,中信证券,600.0,19.41,19.275,11646.0
2024-04-01,600085.XSHG,同仁堂,100.0,41.8,41.38,4180.0
2024-04-02,300142.XSHE,沃森生物,600.0,15.8,15.6294,9480.0
2024-04-02,300122.XSHE,智飞生物,300.0,46.0,45.0567,13800.0
2024-04-02,000069.XSHE,华侨城A,6100.0,2.7,2.702,16470.0
2024-04-02,600030.XSHG,中信证券,600.0,19.31,19.275,11586.0
2024-04-02,600085.XSHG,同仁堂,100.0,40.84,41.38,4084.0
2024-04-03,300142.XSHE,沃森生物,1000.0,15.66,15.7247,15660.0
2024-04-03,300122.XSHE,智飞生物,400.0,45.27,45.33,18108.0
2024-04-03,000069.XSHE,华侨城A,8500.0,2.68,2.6938,22780.0
2024-04-03,600030.XSHG,中信证券,800.0,19.16,19.2425,15328.0
2024-04-03,600085.XSHG,同仁堂,200.0,41.27,41.225,8254.0
2024-04-08,300142.XSHE,沃森生物,1000.0,15.01,15.7247,15010.0
2024-04-08,300122.XSHE,智飞生物,600.0,44.07,44.93,26442.0
2024-04-08,000069.XSHE,华侨城A,8700.0,2.67,2.6944,23229.0
2024-04-08,600030.XSHG,中信证券,800.0,18.92,19.2425,15136.0
2024-04-08,600085.XSHG,同仁堂,300.0,40.77,41.0867,12231.0
2024-04-09,300142.XSHE,沃森生物,1000.0,15.37,15.7247,15370.0
2024-04-09,300122.XSHE,智飞生物,600.0,45.1,44.8614,27060.0
2024-04-09,000069.XSHE,华侨城A,8900.0,2.68,2.694,23852.0
2024-04-09,600030.XSHG,中信证券,1000.0,18.93,19.176,18930.0
2024-04-09,600085.XSHG,同仁堂,400.0,41.55,41.025,16620.0
2024-04-10,300142.XSHE,沃森生物,1100.0,14.96,15.6561,16456.0
2024-04-10,300122.XSHE,智飞生物,600.0,43.83,44.8614,26298.0
2024-04-10,000069.XSHE,华侨城A,9200.0,2.61,2.6929,24012.0
2024-04-10,600030.XSHG,中信证券,1100.0,18.41,19.1064,20251.0
2024-04-10,600085.XSHG,同仁堂,500.0,41.91,41.266,20955.0
2024-04-11,300142.XSHE,沃森生物,1200.0,14.69,15.5881,17628.0
2024-04-11,300122.XSHE,智飞生物,600.0,42.04,44.8614,25224.0
2024-04-11,000069.XSHE,华侨城A,9400.0,2.58,2.6912,24252.0
2024-04-11,600030.XSHG,中信证券,1200.0,18.34,19.045,22008.0
2024-04-11,600085.XSHG,同仁堂,500.0,41.28,41.266,20640.0
2024-04-11,601318.XSHG,中国平安,200.0,38.95,38.765,7790.0
2024-04-12,300142.XSHE,沃森生物,1300.0,14.43,15.4951,18759.0
2024-04-12,300122.XSHE,智飞生物,600.0,40.94,44.8614,24564.0
2024-04-12,000069.XSHE,华侨城A,10200.0,2.53,2.6821,25806.0
2024-04-12,600030.XSHG,中信证券,1300.0,17.94,18.98,23322.0
2024-04-12,600085.XSHG,同仁堂,600.0,41.02,41.295,24612.0
2024-04-12,601318.XSHG,中国平安,400.0,37.78,38.25,15112.0
2024-04-15,300142.XSHE,沃森生物,1400.0,14.22,15.4226,19908.0
