datetime,datetime,trading_datetime,order_book_id,symbol,side,position_effect,exec_id,tax,commission,last_quantity,last_price,order_id,transaction_cost
2024-03-28 09:38:00,2024-03-28 09:38:00,2024-03-28 09:38:00,300142.XSHE,沃森生物,BUY,OPEN,17754685260000,0.0,5.0,100,15.37,17754685260000,5.0
2024-03-28 09:43:00,2024-03-28 09:43:00,2024-03-28 09:43:00,300122.XSHE,智飞生物,BUY,OPEN,17754685260001,0.0,5.0,100,45.0,17754685260001,5.0
2024-03-28 09:47:00,2024-03-28 09:47:00,2024-03-28 09:47:00,000069.XSHE,华侨城A,BUY,OPEN,17754685260002,0.0,5.0,300,2.74,17754685260002,5.0
2024-03-28 10:14:00,2024-03-28 10:14:00,2024-03-28 10:14:00,000069.XSHE,华侨城A,BUY,OPEN,17754685260003,0.0,5.0,300,2.72,17754685260003,5.0
2024-03-28 10:18:00,2024-03-28 10:18:00,2024-03-28 10:18:00,300142.XSHE,沃森生物,BUY,OPEN,17754685260004,0.0,5.0,100,15.6,17754685260004,5.0
2024-03-28 10:43:00,2024-03-28 10:43:00,2024-03-28 10:43:00,000069.XSHE,华侨城A,BUY,OPEN,17754685260005,0.0,5.0,200,2.75,17754685260005,5.0
2024-03-28 10:52:00,2024-03-28 10:52:00,2024-03-28 10:52:00,000069.XSHE,华侨城A,BUY,OPEN,17754685260006,0.0,5.0,200,2.75,17754685260006,5.0
2024-03-28 10:58:00,2024-03-28 10:58:00,2024-03-28 10:58:00,300142.XSHE,沃森生物,BUY,OPEN,17754685260007,0.0,5.0,100,15.61,17754685260008,5.0
2024-03-28 13:01:00,2024-03-28 13:01:00,2024-03-28 13:01:00,300122.XSHE,智飞生物,BUY,OPEN,17754685260008,0.0,5.0,100,45.22,17754685260009,5.0
2024-03-28 13:04:00,2024-03-28 13:04:00,2024-03-28 13:04:00,000069.XSHE,华侨城A,BUY,OPEN,17754685260009,0.0,5.0,100,2.75,17754685260010,5.0
2024-03-28 13:32:00,2024-03-28 13:32:00,2024-03-28 13:32:00,600030.XSHG,中信证券,BUY,OPEN,17754685260010,0.0,5.0,100,19.4,17754685260011,5.0
2024-03-28 14:23:00,2024-03-28 14:23:00,2024-03-28 14:23:00,300142.XSHE,沃森生物,BUY,OPEN,17754685260011,0.0,5.0,100,15.48,17754685260012,5.0
2024-03-29 09:40:00,2024-03-29 09:40:00,2024-03-29 09:40:00,000069.XSHE,华侨城A,BUY,OPEN,17754685260012,0.0,5.0,300,2.7,17754685260013,5.0
2024-03-29 09:54:00,2024-03-29 09:54:00,2024-03-29 09:54:00,000069.XSHE,华侨城A,BUY,OPEN,17754685260013,0.0,5.0,300,2.7,17754685260014,5.0
2024-03-29 09:54:00,2024-03-29 09:54:00,2024-03-29 09:54:00,600030.XSHG,中信证券,BUY,OPEN,17754685260014,0.0,5.0,100,19.1,17754685260015,5.0
2024-03-29 10:18:00,2024-03-29 10:18:00,2024-03-29 10:18:00,600030.XSHG,中信证券,BUY,OPEN,17754685260015,0.0,5.0,100,19.11,17754685260016,5.0
2024-03-29 10:24:00,2024-03-29 10:24:00,2024-03-29 10:24:00,000069.XSHE,华侨城A,BUY,OPEN,17754685260016,0.0,5.0,300,2.7,17754685260017,5.0
2024-03-29 11:01:00,2024-03-29 11:01:00,2024-03-29 11:01:00,000069.XSHE,华侨城A,BUY,OPEN,17754685260017,0.0,5.0,300,2.7,17754685260018,5.0
2024-03-29 13:13:00,2024-03-29 13:13:00,2024-03-29 13:13:00,000069.XSHE,华侨城A,BUY,OPEN,17754685260018,0.0,5.0,200,2.69,17754685260019,5.0
2024-03-29 14:40:00,2024-03-29 14:40:00,2024-03-29 14:40:00,300122.XSHE,智飞生物,BUY,OPEN,17754685260019,0.0,5.0,100,44.95,17754685260020,5.0
2024-04-01 09:39:00,2024-04-01 09:39:00,2024-04-01 09:39:00,000069.XSHE,华侨城A,BUY,OPEN,17754685260020,0.0,5.0,300,2.69,17754685260021,5.0
2024-04-01 09:39:00,2024-04-01 09:39:00,2024-04-01 09:39:00,300142.XSHE,沃森生物,BUY,OPEN,17754685260021,0.0,5.0,100,15.4,17754685260022,5.0
2024-04-01 09:44:00,2024-04-01 09:44:00,2024-04-01 09:44:00,600030.XSHG,中信证券,BUY,OPEN,17754685260022,0.0,5.0,100,19.35,17754685260023,5.0
2024-04-01 09:50:00,2024-04-01 09:50:00,2024-04-01 09:50:00,300142.XSHE,沃森生物,SELL,CLOSE,17754685260023,0.7855,5.0,100,15.71,17754685260024,5.7855
2024-04-01 09:52:00,2024-04-01 09:52:00,2024-04-01 09:52:00,600030.XSHG,中信证券,BUY,OPEN,17754685260024,0.0,5.0,100,19.39,17754685260025,5.0
2024-04-01 09:59:00,2024-04-01 09:59:00,2024-04-01 09:59:00,600085.XSHG,同仁堂,BUY,OPEN,17754685260025,0.0,5.0,100,41.38,17754685260026,5.0
2024-04-01 10:04:00,2024-04-01 10:04:00,2024-04-01 10:04:00,300142.XSHE,沃森生物,BUY,OPEN,17754685260026,0.0,5.0,100,15.66,17754685260027,5.0
2024-04-01 10:13:00,2024-04-01 10:13:00,2024-04-01 10:13:00,300142.XSHE,沃森生物,BUY,OPEN,17754685260027,0.0,5.0,100,15.68,17754685260028,5.0
2024-04-01 11:14:00,2024-04-01 11:14:00,2024-04-01 11:14:00,300142.XSHE,沃森生物,SELL,CLOSE,17754685260028,0.7965,5.0,100,15.93,17754685260029,5.7965
2024-04-01 11:29:00,2024-04-01 11:29:00,2024-04-01 11:29:00,000069.XSHE,华侨城A,SELL,CLOSE,17754685260029,0.274,5.0,200,2.74,17754685260030,5.274
2024-04-01 13:01:00,2024-04-01 13:01:00,2024-04-01 13:01:00,600030.XSHG,中信证券,BUY,OPEN,17754685260030,0.0,5.0,100,19.3,17754685260031,5.0
2024-04-01 13:02:00,2024-04-01 13:02:00,2024-04-01 13:02:00,300142.XSHE,沃森生物,BUY,OPEN,17754685260031,0.0,5.0,100,16.02,17754685260032,5.0
2024-04-01 13:05:00,2024-04-01 13:05:00,2024-04-01 13:05:00,000069.XSHE,华侨城A,SELL,CLOSE,17754685260032,0.1375,5.0,100,2.75,17754685260033,5.1375
2024-04-01 13:19:00,2024-04-01 13:19:00,2024-04-01 13:19:00,000069.XSHE,华侨城A,BUY,OPEN,17754685260033,0.0,5.0,200,2.74,17754685260034,5.0
2024-04-01 14:28:00,2024-04-01 14:28:00,2024-04-01 14:28:00,000069.XSHE,华侨城A,BUY,OPEN,17754685260034,0.0,5.0,400,2.72,17754685260035,5.0
2024-04-02 09:42:00,2024-04-02 09:42:00,2024-04-02 09:42:00,000069.XSHE,华侨城A,BUY,OPEN,17754685260035,0.0,5.0,300,2.69,17754685260036,5.0
2024-04-02 09:47:00,2024-04-02 09:47:00,2024-04-02 09:47:00,000069.XSHE,华侨城A,BUY,OPEN,17754685260036,0.0,5.0,300,2.69,17754685260037,5.0
2024-04-02 09:52:00,2024-04-02 09:52:00,2024-04-02 09:52:00,000069.XSHE,华侨城A,BUY,OPEN,17754685260037,0.0,5.0,300,2.68,17754685260038,5.0
2024-04-02 09:55:00,2024-04-02 09:55:00,2024-04-02 09:55:00,000069.XSHE,华侨城A,BUY,OPEN,17754685260038,0.0,5.0,300,2.68,17754685260039,5.0
2024-04-02 13:01:00,2024-04-02 13:01:00,2024-04-02 13:01:00,000069.XSHE,华侨城A,BUY,OPEN,17754685260039,0.0,5.0,200,2.68,17754685260040,5.0
2024-04-02 13:28:00,2024-04-02 13:28:00,2024-04-02 13:28:00,000069.XSHE,华侨城A,BUY,OPEN,17754685260040,0.0,5.0,200,2.69,17754685260042,5.0
2024-04-02 13:59:00,2024-04-02 13:59:00,2024-04-02 13:59:00,000069.XSHE,华侨城A,BUY,OPEN,17754685260041,0.0,5.0,300,2.69,17754685260044,5.0
2024-04-02 14:04:00,2024-04-02 14:04:00,2024-04-02 14:04:00,000069.XSHE,华侨城A,BUY,OPEN,17754685260042,0.0,5.0,300,2.69,17754685260045,5.0
2024-04-02 14:08:00,2024-04-02 14:08:00,2024-04-02 14:08:00,000069.XSHE,华侨城A,BUY,OPEN,17754685260043,0.0,5.0,400,2.69,17754685260046,5.0
2024-04-02 14:28:00,2024-04-02 14:28:00,2024-04-02 14:28:00,000069.XSHE,华侨城A,BUY,OPEN,17754685260044,0.0,5.0,400,2.69,17754685260047,5.0
2024-04-03 09:37:00,2024-04-03 09:37:00,2024-04-03 09:37:00,300142.XSHE,沃森生物,BUY,OPEN,17754685260045,0.0,5.0,100,15.91,17754685260048,5.0
2024-04-03 09:40:00,2024-04-03 09:40:00,2024-04-03 09:40:00,300142.XSHE,沃森生物,BUY,OPEN,17754685260046,0.0,5.0,100,15.87,17754685260049,5.0
2024-04-03 09:45:00,2024-04-03 09:45:00,2024-04-03 09:45:00,000069.XSHE,华侨城A,BUY,OPEN,17754685260047,0.0,5.0,300,2.68,17754685260050,5.0
2024-04-03 09:49:00,2024-04-03 09:49:00,2024-04-03 09:49:00,600085.XSHG,同仁堂,BUY,OPEN,17754685260048,0.0,5.0,100,41.07,17754685260051,5.0
2024-04-03 09:49:00,2024-04-03 09:49:00,2024-04-03 09:49:00,300122.XSHE,智飞生物,BUY,OPEN,17754685260049,0.0,5.0,100,46.15,17754685260052,5.0
2024-04-03 09:52:00,2024-04-03 09:52:00,2024-04-03 09:52:00,000069.XSHE,华侨城A,BUY,OPEN,17754685260050,0.0,5.0,300,2.67,17754685260053,5.0
