date,cash,total_value,market_value,unit_net_value,units,static_unit_net_value
2026-03-03,975384.0,999653.0,24269.0,0.999653,1000000.0,1.0
2026-03-04,948802.0,999059.0,50257.0,0.999059,1000000.0,0.9997
2026-03-05,922427.0,999071.0,76644.0,0.999071,1000000.0,0.9991
2026-03-06,897805.0315,1000383.0315,102578.0,1.000383,1000000.0,0.9991
2026-03-09,877652.124,999231.124,121579.0,0.999231,1000000.0,1.0004
2026-03-10,866793.124,1000384.124,133591.0,1.000384,1000000.0,0.9992
2026-03-11,862377.6205,1000878.6205,138501.0,1.000879,1000000.0,1.0004
2026-03-12,858337.14,1002398.14,144061.0,1.002398,1000000.0,1.0009
2026-03-13,845147.624,1002219.624,157072.0,1.00222,1000000.0,1.0024
2026-03-16,825301.542,1004046.542,178745.0,1.004047,1000000.0,1.0022
2026-03-17,824673.4555,1003844.4555,179171.0,1.003844,1000000.0,1.004
2026-03-18,826251.423,1003562.423,177311.0,1.003562,1000000.0,1.0038
2026-03-19,822506.0875,1002274.0875,179768.0,1.002274,1000000.0,1.0036
2026-03-20,802578.0815,1000647.0815,198069.0,1.000647,1000000.0,1.0023
2026-03-23,764775.26,990357.26,225582.0,0.990357,1000000.0,1.0006
2026-03-24,744292.1645,993710.1645,249418.0,0.99371,1000000.0,0.9904
2026-03-25,737782.584,995155.584,257373.0,0.995156,1000000.0,0.9937
2026-03-26,728464.584,991849.584,263385.0,0.99185,1000000.0,0.9952
2026-03-27,714087.584,994187.584,280100.0,0.994188,1000000.0,0.9918
