date,order_book_id,symbol,quantity,last_price,avg_price,market_value
2026-03-03,600315.XSHG,上海家化,300.0,20.9,21.4867,6270.0
2026-03-03,600887.XSHG,伊利股份,200.0,25.93,26.025,5186.0
2026-03-03,600000.XSHG,浦发银行,200.0,9.73,9.7,1946.0
2026-03-03,300122.XSHE,智飞生物,200.0,15.98,16.295,3196.0
2026-03-03,600085.XSHG,同仁堂,200.0,30.38,30.455,6076.0
2026-03-03,600161.XSHG,天坛生物,100.0,15.95,16.15,1595.0
2026-03-04,600315.XSHG,上海家化,600.0,20.78,21.2467,12468.0
2026-03-04,600887.XSHG,伊利股份,300.0,25.62,25.9067,7686.0
2026-03-04,600000.XSHG,浦发银行,500.0,9.6,9.602,4800.0
2026-03-04,300122.XSHE,智飞生物,400.0,15.63,16.025,6252.0
2026-03-04,600085.XSHG,同仁堂,200.0,29.71,30.455,5942.0
2026-03-04,600161.XSHG,天坛生物,200.0,15.58,15.955,3116.0
2026-03-04,300142.XSHE,沃森生物,800.0,11.32,11.3575,9056.0
2026-03-04,600138.XSHG,中青旅,100.0,9.37,9.44,937.0
2026-03-05,600315.XSHG,上海家化,800.0,20.66,21.1038,16528.0
2026-03-05,600887.XSHG,伊利股份,400.0,25.67,25.9,10268.0
2026-03-05,600000.XSHG,浦发银行,800.0,9.78,9.6263,7824.0
2026-03-05,300122.XSHE,智飞生物,700.0,15.69,15.9043,10983.0
2026-03-05,600085.XSHG,同仁堂,300.0,29.72,30.24,8916.0
2026-03-05,600161.XSHG,天坛生物,300.0,15.64,15.85,4692.0
2026-03-05,300142.XSHE,沃森生物,1000.0,11.38,11.38,11380.0
2026-03-05,600138.XSHG,中青旅,200.0,9.4,9.425,1880.0
2026-03-05,600030.XSHG,中信证券,100.0,26.21,26.28,2621.0
2026-03-05,600016.XSHG,民生银行,400.0,3.88,3.84,1552.0
2026-03-06,600315.XSHG,上海家化,1200.0,20.62,20.8958,24744.0
2026-03-06,600887.XSHG,伊利股份,500.0,26.21,25.884,13105.0
2026-03-06,600000.XSHG,浦发银行,1300.0,9.89,9.6723,12857.0
2026-03-06,300122.XSHE,智飞生物,900.0,16.16,15.9035,14544.0
2026-03-06,600085.XSHG,同仁堂,300.0,30.02,30.24,9006.0
2026-03-06,600161.XSHG,天坛生物,400.0,15.88,15.825,6352.0
2026-03-06,300142.XSHE,沃森生物,1000.0,11.68,11.39,11680.0
2026-03-06,600138.XSHG,中青旅,200.0,9.5,9.425,1900.0
2026-03-06,600030.XSHG,中信证券,200.0,26.43,26.3,5286.0
2026-03-06,600016.XSHG,民生银行,800.0,3.88,3.84,3104.0
2026-03-09,600315.XSHG,上海家化,1300.0,19.61,20.7854,25493.0
2026-03-09,600887.XSHG,伊利股份,600.0,26.28,25.9361,15768.0
2026-03-09,600000.XSHG,浦发银行,1500.0,9.85,9.702,14775.0
2026-03-09,300122.XSHE,智飞生物,1100.0,16.17,15.9658,17787.0
2026-03-09,600085.XSHG,同仁堂,300.0,29.84,30.24,8952.0
2026-03-09,600161.XSHG,天坛生物,700.0,16.01,15.8843,11207.0
2026-03-09,300142.XSHE,沃森生物,1200.0,11.79,11.4771,14148.0
2026-03-09,600138.XSHG,中青旅,300.0,9.47,9.4167,2841.0
2026-03-09,600030.XSHG,中信证券,200.0,25.88,26.3,5176.0
2026-03-09,600016.XSHG,民生银行,1400.0,3.88,3.85,5432.0
2026-03-10,600315.XSHG,上海家化,1300.0,19.99,20.7854,25987.0
2026-03-10,600887.XSHG,伊利股份,700.0,26.4,25.9981,18480.0
2026-03-10,600000.XSHG,浦发银行,1700.0,9.96,9.7247,16932.0
2026-03-10,300122.XSHE,智飞生物,1200.0,16.2,15.987,19440.0
2026-03-10,600085.XSHG,同仁堂,300.0,30.05,30.24,9015.0
2026-03-10,600161.XSHG,天坛生物,700.0,16.07,15.8843,11249.0
2026-03-10,300142.XSHE,沃森生物,1300.0,11.91,11.5143,15483.0
2026-03-10,600138.XSHG,中青旅,300.0,9.54,9.4167,2862.0
2026-03-10,600030.XSHG,中信证券,300.0,26.13,26.2267,7839.0
2026-03-10,600016.XSHG,民生银行,1600.0,3.94,3.8575,6304.0
2026-03-11,600315.XSHG,上海家化,1300.0,20.17,20.7854,26221.0
2026-03-11,600887.XSHG,伊利股份,700.0,26.44,25.9981,18508.0
2026-03-11,600000.XSHG,浦发银行,1700.0,10.07,9.7333,17119.0
2026-03-11,300122.XSHE,智飞生物,1300.0,16.15,15.9987,20995.0
2026-03-11,600085.XSHG,同仁堂,300.0,30.22,30.24,9066.0
2026-03-11,600161.XSHG,天坛生物,800.0,16.09,15.9075,12872.0
2026-03-11,300142.XSHE,沃森生物,1400.0,11.92,11.5404,16688.0
2026-03-11,600138.XSHG,中青旅,300.0,9.5,9.4167,2850.0
2026-03-11,600030.XSHG,中信证券,300.0,26.1,26.2267,7830.0
2026-03-11,600016.XSHG,民生银行,1600.0,3.97,3.8575,6352.0
2026-03-12,600315.XSHG,上海家化,1300.0,20.37,20.7854,26481.0
2026-03-12,600887.XSHG,伊利股份,700.0,26.71,25.9981,18697.0
2026-03-12,600000.XSHG,浦发银行,1700.0,10.18,9.7333,17306.0
2026-03-12,300122.XSHE,智飞生物,1400.0,16.53,16.0913,23142.0
2026-03-12,600085.XSHG,同仁堂,300.0,30.07,30.24,9021.0
2026-03-12,600161.XSHG,天坛生物,800.0,16.11,15.9075,12888.0
2026-03-12,300142.XSHE,沃森生物,1600.0,12.19,11.6686,19504.0
2026-03-12,600138.XSHG,中青旅,300.0,9.53,9.4167,2859.0
2026-03-12,600030.XSHG,中信证券,300.0,25.93,26.2267,7779.0
2026-03-12,600016.XSHG,民生银行,1600.0,3.99,3.8575,6384.0
2026-03-13,600315.XSHG,上海家化,1300.0,20.88,20.7854,27144.0
2026-03-13,600887.XSHG,伊利股份,900.0,26.71,26.1585,24039.0
