datetime,datetime,trading_datetime,order_book_id,symbol,side,position_effect,exec_id,tax,commission,last_quantity,last_price,order_id,transaction_cost
2026-03-03 09:40:00,2026-03-03 09:40:00,2026-03-03 09:40:00,600315.XSHG,上海家化,BUY,OPEN,17755077630000,0.0,5,100,21.84,17755077630000,5.0
2026-03-03 09:54:00,2026-03-03 09:54:00,2026-03-03 09:54:00,600887.XSHG,伊利股份,BUY,OPEN,17755077630001,0.0,5,100,25.95,17755077630001,5.0
2026-03-03 09:59:00,2026-03-03 09:59:00,2026-03-03 09:59:00,600000.XSHG,浦发银行,BUY,OPEN,17755077630002,0.0,5,100,9.64,17755077630002,5.0
2026-03-03 10:00:00,2026-03-03 10:00:00,2026-03-03 10:00:00,300122.XSHE,智飞生物,BUY,OPEN,17755077630003,0.0,5,100,16.37,17755077630003,5.0
2026-03-03 10:18:00,2026-03-03 10:18:00,2026-03-03 10:18:00,600085.XSHG,同仁堂,BUY,OPEN,17755077630004,0.0,5,100,30.39,17755077630004,5.0
2026-03-03 13:02:00,2026-03-03 13:02:00,2026-03-03 13:02:00,600315.XSHG,上海家化,BUY,OPEN,17755077630005,0.0,5,100,21.3,17755077630005,5.0
2026-03-03 13:03:00,2026-03-03 13:03:00,2026-03-03 13:03:00,300122.XSHE,智飞生物,BUY,OPEN,17755077630006,0.0,5,100,16.22,17755077630006,5.0
2026-03-03 13:18:00,2026-03-03 13:18:00,2026-03-03 13:18:00,600315.XSHG,上海家化,BUY,OPEN,17755077630007,0.0,5,100,21.32,17755077630007,5.0
2026-03-03 13:22:00,2026-03-03 13:22:00,2026-03-03 13:22:00,600000.XSHG,浦发银行,BUY,OPEN,17755077630008,0.0,5,100,9.76,17755077630008,5.0
2026-03-03 13:22:00,2026-03-03 13:22:00,2026-03-03 13:22:00,600085.XSHG,同仁堂,BUY,OPEN,17755077630009,0.0,5,100,30.52,17755077630009,5.0
2026-03-03 13:22:00,2026-03-03 13:22:00,2026-03-03 13:22:00,600887.XSHG,伊利股份,BUY,OPEN,17755077630010,0.0,5,100,26.1,17755077630010,5.0
2026-03-03 13:23:00,2026-03-03 13:23:00,2026-03-03 13:23:00,600161.XSHG,天坛生物,BUY,OPEN,17755077630011,0.0,5,100,16.15,17755077630011,5.0
2026-03-04 09:39:00,2026-03-04 09:39:00,2026-03-04 09:39:00,300142.XSHE,沃森生物,BUY,OPEN,17755077630012,0.0,5,100,11.38,17755077630012,5.0
2026-03-04 09:42:00,2026-03-04 09:42:00,2026-03-04 09:42:00,600161.XSHG,天坛生物,BUY,OPEN,17755077630013,0.0,5,100,15.76,17755077630013,5.0
2026-03-04 09:42:00,2026-03-04 09:42:00,2026-03-04 09:42:00,600315.XSHG,上海家化,BUY,OPEN,17755077630014,0.0,5,100,21.15,17755077630014,5.0
2026-03-04 09:43:00,2026-03-04 09:43:00,2026-03-04 09:43:00,600000.XSHG,浦发银行,BUY,OPEN,17755077630015,0.0,5,100,9.53,17755077630015,5.0
2026-03-04 09:47:00,2026-03-04 09:47:00,2026-03-04 09:47:00,600138.XSHG,中青旅,BUY,OPEN,17755077630016,0.0,5,100,9.44,17755077630016,5.0
2026-03-04 09:49:00,2026-03-04 09:49:00,2026-03-04 09:49:00,300142.XSHE,沃森生物,BUY,OPEN,17755077630017,0.0,5,100,11.42,17755077630017,5.0
2026-03-04 09:53:00,2026-03-04 09:53:00,2026-03-04 09:53:00,600315.XSHG,上海家化,BUY,OPEN,17755077630018,0.0,5,100,21.16,17755077630018,5.0
2026-03-04 10:02:00,2026-03-04 10:02:00,2026-03-04 10:02:00,300142.XSHE,沃森生物,BUY,OPEN,17755077630019,0.0,5,100,11.42,17755077630019,5.0
2026-03-04 10:08:00,2026-03-04 10:08:00,2026-03-04 10:08:00,600887.XSHG,伊利股份,BUY,OPEN,17755077630020,0.0,5,100,25.67,17755077630020,5.0
2026-03-04 10:14:00,2026-03-04 10:14:00,2026-03-04 10:14:00,300122.XSHE,智飞生物,BUY,OPEN,17755077630021,0.0,5,100,15.87,17755077630021,5.0
2026-03-04 10:23:00,2026-03-04 10:23:00,2026-03-04 10:23:00,300142.XSHE,沃森生物,BUY,OPEN,17755077630022,0.0,5,100,11.4,17755077630022,5.0
2026-03-04 13:07:00,2026-03-04 13:07:00,2026-03-04 13:07:00,300142.XSHE,沃森生物,BUY,OPEN,17755077630023,0.0,5,100,11.26,17755077630023,5.0
2026-03-04 13:09:00,2026-03-04 13:09:00,2026-03-04 13:09:00,600000.XSHG,浦发银行,BUY,OPEN,17755077630024,0.0,5,100,9.5,17755077630024,5.0
2026-03-04 13:27:00,2026-03-04 13:27:00,2026-03-04 13:27:00,600000.XSHG,浦发银行,BUY,OPEN,17755077630025,0.0,5,100,9.58,17755077630025,5.0
2026-03-04 13:38:00,2026-03-04 13:38:00,2026-03-04 13:38:00,300142.XSHE,沃森生物,BUY,OPEN,17755077630026,0.0,5,100,11.32,17755077630026,5.0
2026-03-04 13:47:00,2026-03-04 13:47:00,2026-03-04 13:47:00,300142.XSHE,沃森生物,BUY,OPEN,17755077630027,0.0,5,100,11.33,17755077630027,5.0
2026-03-04 14:07:00,2026-03-04 14:07:00,2026-03-04 14:07:00,300142.XSHE,沃森生物,BUY,OPEN,17755077630028,0.0,5,100,11.33,17755077630028,5.0
2026-03-04 14:12:00,2026-03-04 14:12:00,2026-03-04 14:12:00,300122.XSHE,智飞生物,BUY,OPEN,17755077630029,0.0,5,100,15.64,17755077630029,5.0
2026-03-04 14:12:00,2026-03-04 14:12:00,2026-03-04 14:12:00,600315.XSHG,上海家化,BUY,OPEN,17755077630030,0.0,5,100,20.71,17755077630030,5.0
2026-03-05 09:38:00,2026-03-05 09:38:00,2026-03-05 09:38:00,300122.XSHE,智飞生物,BUY,OPEN,17755077630031,0.0,5,100,15.73,17755077630031,5.0
2026-03-05 09:39:00,2026-03-05 09:39:00,2026-03-05 09:39:00,300142.XSHE,沃森生物,BUY,OPEN,17755077630032,0.0,5,100,11.47,17755077630032,5.0
2026-03-05 09:45:00,2026-03-05 09:45:00,2026-03-05 09:45:00,600887.XSHG,伊利股份,BUY,OPEN,17755077630033,0.0,5,100,25.88,17755077630033,5.0
2026-03-05 09:47:00,2026-03-05 09:47:00,2026-03-05 09:47:00,600030.XSHG,中信证券,BUY,OPEN,17755077630034,0.0,5,100,26.28,17755077630034,5.0
2026-03-05 09:52:00,2026-03-05 09:52:00,2026-03-05 09:52:00,600085.XSHG,同仁堂,BUY,OPEN,17755077630035,0.0,5,100,29.81,17755077630035,5.0
2026-03-05 09:54:00,2026-03-05 09:54:00,2026-03-05 09:54:00,600315.XSHG,上海家化,BUY,OPEN,17755077630036,0.0,5,100,20.74,17755077630036,5.0
2026-03-05 10:03:00,2026-03-05 10:03:00,2026-03-05 10:03:00,600016.XSHG,民生银行,BUY,OPEN,17755077630037,0.0,5,200,3.84,17755077630037,5.0
2026-03-05 10:04:00,2026-03-05 10:04:00,2026-03-05 10:04:00,600138.XSHG,中青旅,BUY,OPEN,17755077630038,0.0,5,100,9.41,17755077630038,5.0
2026-03-05 10:12:00,2026-03-05 10:12:00,2026-03-05 10:12:00,600000.XSHG,浦发银行,BUY,OPEN,17755077630039,0.0,5,100,9.62,17755077630039,5.0
2026-03-05 10:38:00,2026-03-05 10:38:00,2026-03-05 10:38:00,600016.XSHG,民生银行,BUY,OPEN,17755077630040,0.0,5,200,3.84,17755077630040,5.0
2026-03-05 10:44:00,2026-03-05 10:44:00,2026-03-05 10:44:00,600000.XSHG,浦发银行,BUY,OPEN,17755077630041,0.0,5,100,9.67,17755077630041,5.0
2026-03-05 11:23:00,2026-03-05 11:23:00,2026-03-05 11:23:00,600000.XSHG,浦发银行,BUY,OPEN,17755077630042,0.0,5,100,9.71,17755077630042,5.0
2026-03-05 13:02:00,2026-03-05 13:02:00,2026-03-05 13:02:00,300142.XSHE,沃森生物,BUY,OPEN,17755077630043,0.0,5,100,11.47,17755077630043,5.0
2026-03-05 13:03:00,2026-03-05 13:03:00,2026-03-05 13:03:00,300122.XSHE,智飞生物,BUY,OPEN,17755077630044,0.0,5,100,15.75,17755077630044,5.0
2026-03-05 13:38:00,2026-03-05 13:38:00,2026-03-05 13:38:00,300122.XSHE,智飞生物,BUY,OPEN,17755077630045,0.0,5,100,15.75,17755077630045,5.0
2026-03-05 14:07:00,2026-03-05 14:07:00,2026-03-05 14:07:00,600315.XSHG,上海家化,BUY,OPEN,17755077630046,0.0,5,100,20.61,17755077630046,5.0
2026-03-05 14:11:00,2026-03-05 14:11:00,2026-03-05 14:11:00,600161.XSHG,天坛生物,BUY,OPEN,17755077630047,0.0,5,100,15.64,17755077630047,5.0
2026-03-06 09:39:00,2026-03-06 09:39:00,2026-03-06 09:39:00,300142.XSHE,沃森生物,BUY,OPEN,17755077630048,0.0,5,100,11.41,17755077630048,5.0
